adr,adults
0,2
0,2
75,1
75,1
98,2
98,2
107,2
103,2
82,2
105.5,2
123,2
145,2
97,2
154.77,2
94.71,2
97,2
97.5,2
88.2,2
107.42,2
153,2
97.29,1
84.67,2
84.67,2
99.67,2
94.95,2
63.6,2
79.5,2
107,2
94,2
87.3,2
62,1
63.86,2
108.3,2
65.5,2
108.8,3
108.8,3
98,2
108.8,3
108.8,3
137,2
117.81,2
79.5,2
123,2
137,2
110.7,2
153,2
58.95,2
82.88,2
82.35,2
119.35,2
67.58,2
56.01,2
110.7,2
88.2,2
147,2
107,2
147,2
117.9,2
123,2
98,2
117.81,2
135,2
133,2
58.95,2
136.33,2
153,2
110.5,2
97,2
110.3,3
82,2
97,2
73.8,2
91.5,2
114.5,2
110.3,3
90.9,2
123,2
122,1
110.7,2
85.86,3
58.95,2
55.68,2
55.68,2
124,2
111.15,2
134.73,2
92.45,2
108.73,2
73.8,2
98,2
131,2
123,2
94.71,2
123,2
123,2
73.8,2
117,2
196.54,3
99.3,2
90.95,2
92.67,2
71.55,2
96.49,1
85.8,2
96.3,2
163,2
172,3
110.7,2
58.95,2
73.8,2
97,2
139,2
67.24,2
116.5,3
96.3,2
123,2
71.55,2
71.55,2
149,2
163,2
79.5,2
105,1
123,1
73.8,2
113,2
0,4
123,2
73.8,2
114.5,2
73.8,2
73.8,2
88.2,2
97,2
85.1,2
89,1
80.1,1
98,2
101,1
97,2
167,2
225,3
97,2
87.3,2
85.59,2
123,2
107,2
163,2
82,2
163,2
105.5,2
164.2,2
97.29,2
114,2
98.4,2
175,2
63.6,2
124.45,3
110.7,2
74.07,1
134.1,2
167,2
123,2
117.81,2
171.32,3
210,2
97,2
117.81,3
0,2
0,1
131,2
98,2
87.3,2
97,2
167,2
91.5,2
73.8,2
123,2
175,2
117.8,2
117.63,2
185,2
71,1
47.25,2
151,2
87.3,2
120.6,2
63.86,2
157.1,2
91.37,2
73,1
110.7,2
93.6,2
83.5,2
73.8,2
82,2
185.5,2
0,2
0,2
109.8,1
195,3
109.8,1
193,3
97,2
150,3
98,2
91.5,2
139,2
79.5,2
47.25,2
126.65,2
107,2
131,2
131,2
123,2
146,2
110.7,2
73.8,2
61,1
104.72,2
104.72,2
104.72,2
66.42,2
77.96,2
112,2
107,2
89.68,2
155,2
112,3
130.1,3
100.1,2
123,2
124,3
146,2
97,2
123,2
153,2
82,2
105.08,2
65.42,2
98,1
75.46,2
65.5,2
90.95,2
93.6,2
119.25,2
134.73,2
112,2
118.13,2
131,2
88.2,2
73.8,2
98,2
110.5,2
131,2
185,2
87.3,2
73.8,2
120,2
98,2
96.3,2
197,2
197,2
123,2
82,2
165,2
149.4,2
106.84,2
161,2
134.43,2
144.43,2
152,1
125.54,2
133.83,2
159.75,3
120.6,2
112.2,2
110.6,2
105.9,2
95.27,2
108.83,2
153.96,2
120.6,2
90.67,2
126.67,2
144.4,3
99.5,2
139.4,2
73.8,2
89.97,2
123,2
123,2
123,1
144.9,2
153,2
131,2
100,2
65.5,2
123,2
123,2
131,2
104.68,2
166,2
111.25,2
213.75,2
178,2
113.9,2
129.29,2
153,2
98,2
169,2
93,2
132.29,2
123,2
117.22,2
149,2
164.57,3
107,2
117.22,2
119.25,2
123,2
105.71,2
123,2
144.43,2
126,2
148.3,2
125.22,2
123,2
130,2
133.16,2
78.84,2
80.1,2
193,2
88.2,2
90.71,2
114.5,2
120.2,2
79.5,2
117.9,2
128,2
90.95,2
107,2
130.05,2
123,2
103.8,2
196,2
149.4,2
175.71,2
119.7,2
100.86,2
100.86,2
82,2
73.8,2
117.9,2
82,2
150,4
161,2
64,2
123,2
110,2
88.2,2
130,2
