Area,Date,FirstTrialPhase,Material,ContaminationRate,Treated,Post,Treated_Post
ENGINE,1/15/2020,1,PaperContaminant,0.714285714,0,0,0
ENGINE,1/16/2020,1,PaperContaminant,1.142857143,0,0,0
ENGINE,1/17/2020,1,PaperContaminant,1.285714286,0,0,0
ENGINE,1/18/2020,1,PaperContaminant,1.714285714,0,0,0
ENGINE,1/19/2020,1,PaperContaminant,0.285714286,0,0,0
ENGINE,1/20/2020,1,PaperContaminant,0.571428571,0,0,0
ENGINE,1/21/2020,1,PaperContaminant,0.857142857,0,0,0
ENGINE,1/22/2020,1,PaperContaminant,1.0,0,0,0
ENGINE,1/23/2020,1,PaperContaminant,1.0,0,0,0
ENGINE,1/29/2020,1,PaperContaminant,0.857142857,0,0,0
ENGINE,1/30/2020,1,PaperContaminant,0.4,0,0,0
ENGINE,1/31/2020,1,PaperContaminant,1.428571429,0,0,0
ENGINE,2/1/2020,1,PaperContaminant,1.285714286,0,0,0
ENGINE,2/3/2020,1,PaperContaminant,0.666666667,0,0,0
ENGINE,2/4/2020,1,PaperContaminant,0.333333333,0,0,0
ENGINE,2/5/2020,1,PaperContaminant,0.666666667,0,0,0
ENGINE,2/6/2020,1,PaperContaminant,1.0,0,0,0
ENGINE,2/7/2020,1,PaperContaminant,0.285714286,0,0,0
ENGINE,2/10/2020,1,PaperContaminant,0.714285714,0,0,0
ENGINE,2/11/2020,2,PaperContaminant,0.571428571,0,1,0
ENGINE,2/12/2020,2,PaperContaminant,0.142857143,0,1,0
ENGINE,2/13/2020,2,PaperContaminant,0.428571429,0,1,0
ENGINE,2/14/2020,2,PaperContaminant,7.2,0,1,0
ENGINE,2/15/2020,2,PaperContaminant,0.2,0,1,0
ENGINE,2/17/2020,2,PaperContaminant,0.5,0,1,0
ENGINE,2/18/2020,2,PaperContaminant,1.2,0,1,0
ENGINE,2/19/2020,2,PaperContaminant,0.8,0,1,0
ENGINE,2/20/2020,2,PaperContaminant,2.0,0,1,0
