lat,long,depth,mag,Number_of_Stations,mag_level,Intensity_Index
-12.23,167.02,242,6,132,High,792
-18.82,182.21,417,5.6,129,High,722.4
-15.33,186.75,48,5.7,123,High,701.1
-15.56,167.62,127,6.4,122,High,780.8000000000001
-20.25,184.75,107,5.6,121,High,677.5999999999999
-21.08,180.85,627,5.9,119,High,702.1
-21.59,170.56,165,6,119,High,714
-22.91,183.95,64,5.9,118,High,696.2
-17.85,181.44,589,5.6,115,High,644
-17.84,181.3,535,5.7,112,High,638.4
-19.33,186.16,44,5.4,110,Medium,594
-15.93,167.91,183,5.6,109,High,610.4
-23.34,184.5,56,5.7,106,High,604.2
-19.89,184.08,219,5.4,105,Medium,567
-18.14,180.87,624,5.5,105,High,577.5
-22.13,180.38,577,5.7,104,High,592.8000000000001
-21.11,181.5,538,5.5,104,High,572
-18,180.62,636,5,100,Medium,500
-19.89,174.46,546,5.7,99,High,564.3000000000001
-26,182.12,205,5.6,98,High,548.8
-15.36,186.71,130,5.5,95,High,522.5
-20.7,169.92,139,6.1,94,High,573.4
-11.4,166.07,93,5.6,94,High,526.4
-13.45,170.3,641,5.3,93,Medium,492.9
-20.9,184.28,58,5.5,92,High,506
-15.46,187.81,40,5.5,91,High,500.5
-20.85,181.59,499,5.1,91,Medium,464.09999999999997
-17.64,177.01,545,5.2,91,Medium,473.2
-32.22,180.2,216,5.7,90,High,513
-17.72,181.42,565,5.3,89,Medium,471.7
-27.98,181.96,53,5.2,89,Medium,462.8
-18.12,181.88,649,5.4,88,Medium,475.20000000000005
-23.6,183.99,118,5.4,88,Medium,475.20000000000005
-23.53,179.99,538,5.4,87,Medium,469.8
-15.95,167.34,47,5.4,87,Medium,469.8
-14.46,167.26,195,5.2,87,Medium,452.40000000000003
-37.03,177.52,153,5.6,87,High,487.2
-15.9,167.42,40,5.5,86,High,473
-24.18,179.02,550,5.3,86,Medium,455.8
-21.13,185.6,85,5.3,86,Medium,455.8
-20.47,185.68,93,5.4,85,Medium,459.00000000000006
-13.64,165.96,50,6,83,High,498
-18.6,181.91,442,5.4,82,Medium,442.8
-17.1,182.68,403,5.5,82,High,451
-20.56,184.41,138,5,82,Medium,410
-32.45,181.15,41,5.5,81,High,445.5
-21.55,181.39,513,5.1,81,Medium,413.09999999999997
-15.99,167.95,190,5.3,81,Medium,429.3
-24.57,178.4,562,5.6,80,High,448
-11.54,166.18,89,5.4,80,Medium,432
-16.46,180.79,498,5.2,79,Medium,410.8
-23.58,183.4,94,5.2,79,Medium,410.8
-34.68,179.82,75,5.6,79,High,442.4
-17.59,180.98,548,5.1,79,Medium,402.9
-21.92,182.8,273,5.3,78,Medium,413.4
-21.08,181.3,557,4.9,78,Medium,382.20000000000005
-21.14,174.21,40,5.7,78,High,444.6
-35.94,178.52,138,5.5,78,High,429
-21.19,181.58,490,5,77,Medium,385
-22.55,185.9,42,5.7,76,High,433.2
-23.74,179.99,506,5.2,75,Medium,390
-17.1,185.9,127,5.4,75,Medium,405
-17.72,180.3,595,5.2,74,Medium,384.8
-18.51,182.64,405,5.2,74,Medium,384.8
-21.29,185.8,69,4.9,74,Medium,362.6
-23.75,184.5,54,5.2,74,Medium,384.8
-18.97,185.25,129,5.1,73,Medium,372.29999999999995
-19.89,183.84,244,5.3,73,Medium,386.9
-15.77,167.01,64,5.5,73,High,401.5
-19.02,184.23,270,5.1,72,Medium,367.2
-18.08,180.7,628,5.2,72,Medium,374.40000000000003
-22.41,183.99,128,5.2,72,Medium,374.40000000000003
-20.02,184.09,234,5.3,71,Medium,376.3
-22.54,172.91,54,5.5,71,High,390.5
-23.78,180.31,518,5.1,71,Medium,362.09999999999997
-17.74,186.78,104,5.1,71,Medium,362.09999999999997
-13.7,166.75,46,5.3,71,Medium,376.3
-38.28,177.1,100,5.4,71,Medium,383.40000000000003
-13.26,167.01,213,5.1,70,Medium,357
-21.57,183.86,156,5.1,70,Medium,357
-13.8,166.53,42,5.5,70,High,385
-26.53,178.57,600,5,69,Medium,345
-21.79,183.48,210,5.2,69,Medium,358.8
-18.21,180.87,631,5.2,69,Medium,358.8
-21.29,185.77,57,5.3,69,Medium,365.7
-14.12,166.64,63,5.3,69,Medium,365.7
-16.14,187.32,42,5.1,68,Medium,346.79999999999995
-13.05,169.58,644,4.9,68,Medium,333.20000000000005
-27.19,182.18,69,5.4,68,Medium,367.20000000000005
-30.17,182.02,56,5.5,68,High,374
-16.24,167.95,188,5.1,68,Medium,346.79999999999995
-22.55,183.81,82,5.1,68,Medium,346.79999999999995
-17.98,181.51,586,5.2,68,Medium,353.6
-13.66,172.23,46,5.3,67,Medium,355.09999999999997
-21.98,179.6,583,5.4,67,Medium,361.8
-17.71,181.18,574,5.2,67,Medium,348.40000000000003
-18.8,182.41,385,5.2,67,Medium,348.40000000000003
-27.64,182.22,162,5.1,67,Medium,341.7
-27.89,182.92,87,5.5,67,High,368.5
-20.82,181.67,577,5,67,Medium,335
-21.96,180.54,603,5.2,66,Medium,343.2
-34.02,180.21,75,5.2,65,Medium,338
-26.18,178.59,548,5.4,65,Medium,351
-37.93,177.47,65,5.4,65,Medium,351
-18.07,181.58,603,5,65,Medium,325
-19.02,186.83,45,5.2,65,Medium,338
-19.3,183,302,5,65,Medium,325
-20.05,183.86,243,4.9,65,Medium,318.5
-20.64,182.02,497,5.2,64,Medium,332.8
-20.93,181.54,564,5,64,Medium,320
-26.72,182.69,162,5.2,64,Medium,332.8
-10.96,165.97,76,4.9,64,Medium,313.6
-23.58,180.17,462,5.3,63,Medium,333.9
-21.68,180.63,617,5,63,Medium,315
-28.83,181.66,221,5.1,63,Medium,321.29999999999995
-23.61,180.27,537,5,63,Medium,315
-17.67,187.09,45,4.9,62,Medium,303.8
-13.82,172.38,613,5,61,Medium,305
-15.48,167.53,128,5.1,61,Medium,311.09999999999997
-23.36,180.01,553,5.3,61,Medium,323.3
-17.59,181.09,536,5.1,61,Medium,311.09999999999997
-20.24,185.1,86,5.1,61,Medium,311.09999999999997
-29.33,182.72,57,5.4,61,Medium,329.40000000000003
-22.04,183.95,109,5.4,61,Medium,329.40000000000003
-28.98,181.11,304,5.3,60,Medium,318
-18.92,169.37,248,5.3,60,Medium,318
-25.63,180.26,464,4.8,60,Medium,288
-27.72,181.7,94,4.8,59,Medium,283.2
-23.33,180.18,528,5,59,Medium,295
-15.18,167.23,71,5.2,59,Medium,306.8
-23.49,179.07,544,5.1,58,Medium,295.79999999999995
-22.1,179.71,579,5.1,58,Medium,295.79999999999995
-19.66,180.28,431,5.4,57,Medium,307.8
-15.24,186.21,158,5,57,Medium,285
-12.93,169.63,641,5.1,57,Medium,290.7
-15.36,186.66,112,5.1,57,Medium,290.7
-22.24,184.56,99,4.8,57,Medium,273.59999999999997
-18.48,182.37,376,4.8,57,Medium,273.59999999999997
-18.35,185.27,201,4.7,57,Medium,267.90000000000003
-17.95,181.73,583,4.7,57,Medium,267.90000000000003
-19.13,182.51,579,5.2,56,Medium,291.2
-17.78,181.53,511,4.8,56,Medium,268.8
-28.56,183.47,48,4.8,56,Medium,268.8
-21.6,169.9,43,5.2,56,Medium,291.2
-15.24,185.11,262,4.9,56,Medium,274.40000000000003
-23.73,182.53,232,5,55,Medium,275
-12.49,166.36,74,4.9,55,Medium,269.5
-11.41,166.24,83,5.3,55,Medium,291.5
-11.25,166.36,130,5.1,55,Medium,280.5
-21.71,183.58,234,4.7,55,Medium,258.5
-18.16,183.41,306,5.2,54,Medium,280.8
-19.85,181.85,576,4.9,54,Medium,264.6
-21.48,183.78,200,4.9,54,Medium,264.6
-19.77,181.4,630,5.1,54,Medium,275.4
-27.28,183.4,70,5.1,54,Medium,275.4
-15.65,186.26,64,5.1,54,Medium,275.4
-15,184.62,40,5.1,54,Medium,275.4
-22.23,180.48,581,5,54,Medium,270
-18.77,169.24,218,5.3,53,Medium,280.9
-14.6,167.4,178,4.8,52,Medium,249.6
-13.65,166.66,71,4.9,52,Medium,254.8
-18.2,183.68,107,4.8,52,Medium,249.6
-16.65,185.51,218,5,52,Medium,260
-18.1,181.72,544,4.6,52,Medium,239.2
