Train_Number_All,lead_days,median_price,n_obs,jump_pct,rel_jump
A,25,247.5973431,139,24.303055124505796,0.24303055124505796
A,26,205.5975415,123,-16.962945189212732,-0.1696294518921273
A,27,198.64018364999998,108,-3.383969379808961,-0.03383969379808961
A,28,153.06637665,98,-22.94289411265352,-0.2294289411265352
A,29,138.98274075,82,-9.200999075194344,-0.09200999075194344
A,30,134.0200758,109,-3.5707059187491264,-0.035707059187491265
A,31,136.0271651,113,1.497603465763739,0.014976034657637388
A,32,147.09214865,122,8.134392525100138,0.08134392525100137
A,33,139.23513309999998,120,-5.341560118681445,-0.05341560118681445
A,34,143.4134108,117,3.000878878033711,0.03000878878033711
A,35,122.17595285,94,-14.808557882789025,-0.14808557882789025
B,25,274.84833075,234,-0.42024587135157754,-0.004202458713515775
B,26,241.5578402,205,-12.11231316528562,-0.1211231316528562
B,27,195.9839813,209,-18.86664447002287,-0.1886664447002287
B,28,187.7360436,217,-4.208475430129464,-0.04208475430129464
B,29,188.6888544,229,0.5075268348736038,0.005075268348736038
B,30,187.8177979,205,-0.46163643463193804,-0.004616364346319381
B,31,188.8636149,189,0.5568252911562859,0.005568252911562859
B,32,187.0266179,179,-0.9726579685412962,-0.009726579685412962
B,33,186.0458151,186,-0.5244188292622664,-0.005244188292622663
B,34,153.9987397,200,-17.225367516476865,-0.17225367516476867
B,35,184.978428,221,20.116845345845398,0.201168453458454
C,25,257.8763795,213,-15.466049824467243,-0.15466049824467243
C,26,251.4157513,205,-2.505319879442457,-0.025053198794424573
C,27,249.2699513,178,-0.8534867003776339,-0.008534867003776338
C,28,257.62635055,198,3.3523492127388166,0.033523492127388164
C,29,258.20421554999996,180,0.2243035305846257,0.002243035305846257
C,30,246.9862933,187,-4.344592990515162,-0.04344592990515162
C,31,251.6939488,159,1.9060391720935987,0.019060391720935987
C,32,256.866165,137,2.0549624751248836,0.020549624751248836
C,33,244.0616058,135,-4.9849146928323655,-0.04984914692832366
C,34,198.57783469999998,136,-18.636184479287735,-0.18636184479287735
C,35,198.95602165,162,0.19044771566341093,0.0019044771566341092
D,25,257.6738401,129,-14.889090772217395,-0.14889090772217395
D,26,253.32232255000002,128,-1.6887696276468005,-0.016887696276468005
D,27,246.3406018,113,-2.756062189751158,-0.02756062189751158
D,28,241.8800779,117,-1.8107140550145389,-0.01810714055014539
D,29,235.87207610000002,122,-2.4838762465108286,-0.024838762465108286
D,30,197.514714,131,-16.261934322288358,-0.16261934322288357
D,31,200.5331597,109,1.5282130828997382,0.015282130828997383
D,32,246.1958581,99,22.77064724273629,0.2277064724273629
D,33,188.9751668,105,-23.241939056813074,-0.23241939056813074
D,34,165.79586725000001,114,-12.265791290202472,-0.12265791290202473
D,35,164.4066364,127,-0.8379164529506801,-0.008379164529506801
E,25,187.4387429,263,15.164088099287316,0.15164088099287315
E,26,148.4851835,241,-20.78202126055765,-0.20782021260557648
E,27,167.0964284,254,12.534075428475328,0.12534075428475328
E,28,140.5874537,235,-15.8644771488126,-0.158644771488126
E,29,138.3797247,203,-1.5703599018950014,-0.015703599018950014
E,30,120.8404039,243,-12.674776480459352,-0.12674776480459352
E,31,136.56308545000002,228,13.011113040478689,0.1301111304047869
E,32,129.3288767,234,-5.297338388453951,-0.0529733838845395
E,33,128.5098836,239,-0.6332639089565372,-0.006332639089565372
E,34,117.6396085,237,-8.45870745150998,-0.0845870745150998
E,35,122.4286061,234,4.070905761302327,0.04070905761302327
F,25,219.4652143,180,-13.341760179015408,-0.13341760179015408
F,26,198.657736,168,-9.480991493967258,-0.09480991493967257
F,27,187.8921461,200,-5.41916469842383,-0.054191646984238305
F,28,192.11149089999998,184,2.2456206326763475,0.022456206326763477
F,29,187.51249755,154,-2.3939189313740177,-0.023939189313740176
F,30,137.7919925,177,-26.515835317452424,-0.26515835317452424
F,31,185.2505118,169,34.44214604850859,0.34442146048508593
F,32,180.84207525,174,-2.3797162594397783,-0.02379716259439778
F,33,184.6273268,189,2.0931254768931313,0.020931254768931314
F,34,146.9942477,155,-20.383265983570535,-0.20383265983570534
F,35,137.81861775,148,-6.242169400211163,-0.06242169400211164
G,25,229.9458006,219,-9.422883263855775,-0.09422883263855775
G,26,199.33930005000002,184,-13.310310721108246,-0.13310310721108246
G,27,193.1829018,170,-3.088401659108777,-0.03088401659108777
G,28,195.78900435,210,1.3490337528411651,0.013490337528411651
G,29,187.2215369,202,-4.375867520468348,-0.043758675204683475
G,30,187.69446,185,0.2526008000097785,0.0025260080000977852
G,31,151.480638,198,-19.294028177496553,-0.19294028177496553
G,32,182.6520473,191,20.57781754259577,0.2057781754259577
G,33,146.26721435000002,184,-19.920298451535604,-0.19920298451535604
G,34,137.2722663,174,-6.1496679826527405,-0.0614966798265274
G,35,137.0957224,199,-0.12860857095065883,-0.0012860857095065884
H,25,172.25224185000002,170,-7.036721572458762,-0.07036721572458762
H,26,177.1866158,177,2.8646210330875754,0.028646210330875756
H,27,184.3568215,161,4.046697132075366,0.04046697132075366
H,28,143.15353455000002,136,-22.349749043595864,-0.22349749043595862
H,29,145.55957135,144,1.6807386611607633,0.016807386611607633
H,30,137.2751097,161,-5.6914578499821875,-0.05691457849982187
H,31,131.71270115,160,-4.0520153742044425,-0.04052015374204443
H,32,137.55575395,148,4.436210592436104,0.04436210592436104
H,33,136.2021751,143,-0.9840219773663573,-0.009840219773663573
H,34,132.92438885,170,-2.4065594015612684,-0.024065594015612684
H,35,136.3842732,143,2.602896563928781,0.026028965639287808
I,25,267.40038655,150,3.4346902174680896,0.03434690217468089
I,26,252.0069335,149,-5.7567056086217185,-0.057567056086217185
I,27,233.90990445,142,-7.1811631524019175,-0.07181163152401918
I,28,243.3438427,161,4.033150401297601,0.04033150401297601
I,29,246.03456375000002,174,1.105728018488305,0.011057280184883049
I,30,241.89941,166,-1.6807206625658624,-0.016807206625658624
I,31,188.5047025,156,-22.073103650810882,-0.22073103650810882
I,32,197.72712,139,4.8924071270848035,0.04892407127084803
I,33,194.8732965,155,-1.4433141493185173,-0.014433141493185173
I,34,185.9071408,133,-4.601018128720372,-0.046010181287203716
I,35,184.7178381,145,-0.6397294342122511,-0.006397294342122511
J,25,243.1236249,151,23.28726387906788,0.2328726387906788
J,26,177.4860418,135,-26.997616182712648,-0.26997616182712647
J,27,190.0356491,161,7.070757324196516,0.07070757324196517
J,28,149.1018383,109,-21.540069452158388,-0.21540069452158386
J,29,145.2968624,97,-2.5519309107002393,-0.025519309107002393
J,30,144.2320196,114,-0.7328739123550462,-0.0073287391235504614
J,31,130.1429501,127,-9.768336836073807,-0.09768336836073807
J,32,118.3373064,129,-9.07128944820193,-0.0907128944820193
J,33,136.2107633,121,15.103822660611103,0.15103822660611102
J,34,147.37512875,118,8.196390049889686,0.08196390049889686
J,35,134.3310282,126,-8.850951080169962,-0.08850951080169962
K,25,245.2660904,70,-0.7159629857105614,-0.007159629857105614
K,26,208.9128752,65,-14.821949149477694,-0.14821949149477695
K,27,253.53343745,62,21.358454909628282,0.21358454909628283
K,28,227.26857865,70,-10.359524591378513,-0.10359524591378513
K,29,186.6507125,53,-17.872187343835442,-0.1787218734383544
K,30,251.48654455000002,60,34.73645033634684,0.3473645033634684
K,31,278.3176934,77,10.669019647953954,0.10669019647953955
K,32,216.8592179,65,-22.082130226507545,-0.22082130226507543
K,33,208.39014575,58,-3.9053318701469024,-0.039053318701469025
K,34,151.1233441,35,-27.48057085132107,-0.2748057085132107
K,35,152.6677984,53,1.0219826124136255,0.010219826124136255
L,25,285.3612138,64,-5.025222853434338,-0.05025222853434338
L,26,301.2355295,72,5.562884839397194,0.05562884839397194
L,27,284.67084950000003,64,-5.498913102147851,-0.05498913102147851
L,28,291.50000094999996,38,2.3989640885235515,0.023989640885235513
L,29,218.24428964999998,42,-25.130604137653258,-0.25130604137653256
L,30,277.42422185,38,27.11637142713209,0.2711637142713209
L,31,304.47944859999996,48,9.752294363333718,0.09752294363333718
L,32,307.1031565,33,0.8617027888298853,0.008617027888298852
L,33,296.0076096,42,-3.6129706468842455,-0.036129706468842455
L,34,330.0789832,43,11.510303281068067,0.11510303281068067
L,35,297.22708409999996,34,-9.95273882072478,-0.09952738820724781
M,25,152.17256125,82,0.34236470037258127,0.0034236470037258128
M,26,147.88817699999998,78,-2.8154775176329734,-0.028154775176329735
M,27,139.27567620000002,66,-5.823657424622906,-0.05823657424622906
M,28,148.3101226,69,6.4867366983926935,0.06486736698392694
M,29,136.7455999,67,-7.7975275707849745,-0.07797527570784975
M,30,115.25186155,76,-15.718047502601948,-0.15718047502601948
M,31,133.516559,86,15.847637690499411,0.1584763769049941
M,32,129.7960996,82,-2.7865153415165604,-0.027865153415165603
M,33,131.2563389,79,1.1250255627866432,0.011250255627866433
M,34,125.88355085,58,-4.093355105762436,-0.04093355105762436
M,35,115.2596695,67,-8.439451602901782,-0.08439451602901782
N,25,325.2599584,16,14.715124265616875,0.14715124265616875
N,26,199.5405894,15,-38.65196614376743,-0.3865196614376743
N,27,295.90378975,16,48.29253067747028,0.4829253067747028
N,28,286.1764549,19,-3.2873302698212497,-0.032873302698212495
N,29,285.4387215,19,-0.25778969141881863,-0.002577896914188186
N,30,297.1949385,7,4.11864828227238,0.0411864828227238
N,31,273.1151488,11,-8.10235524922979,-0.0810235524922979
N,32,284.8608573,11,4.300643355598456,0.043006433555984554
N,33,279.1855495,13,-1.9923087551558951,-0.01992308755155895
N,34,239.7334464,10,-14.13114080247194,-0.1413114080247194
N,35,282.46313375,12,17.82383225689113,0.1782383225689113
